SSN,Name,Address,ShowingSymptoms,CovidInfected
ZGKLA5287H,Madhav Nilufar,"Street Address,Country",TRUE,TRUE
DAJPC4150P,Abhra Smirti,"Monroe Street,India",FALSE,FALSE
XGZFE7225A,Magan Nageshwar,"Franklin Avenue,India",FALSE,TRUE
CTUGE1616I,Gulab Umesh Reba,"Country Club Road,India",FALSE,FALSE
PEVFV4506Y,Shiv Rangarajan,"Maiden Lane,India",FALSE,FALSE
UWPCL6780T,Satyakam Nishita Makarand,"Route 1,India",FALSE,FALSE
LQDTD5444T,Sarat Rammohan,"White Street,India",FALSE,FALSE
YUGFJ2046V,Vismay Suneina,"Cottage Street,India",FALSE,FALSE
DDWCH0856B,Ikshu Vasudha,"King Street,India",FALSE,FALSE
NLXBC1905E,Ankush Visvanathan,"Maiden Lane,India",TRUE,TRUE
GFQJR7008X,Sudhir Chellappa,"Grand Avenue,India",FALSE,FALSE
HAIBF2803J,Nikunj Keskar,"Laurel Drive,India",FALSE,TRUE
PAOTD0722J,Arnav Gavarasana,"Pleasant Street,India",FALSE,TRUE
YSNCH0058E,Ujala Vinita,"Ann Street,India",FALSE,FALSE
KOAHM4127V,Hasit Fatik Honnenahalli,"Windsor Drive,India",FALSE,FALSE
AALAE0983J,Lokesh Vaibhav Niradhara,"Essex Court,India",FALSE,FALSE
IDKAU8404X,Shakunt Kity,"Crescent Street,India",FALSE,FALSE
RCPLI5103X,Ishrat Prasanna,"River Street,India",FALSE,FALSE
SJRGW6993R,Ranajit Naik,"Broad Street,India",FALSE,FALSE
JBBLZ1931E,Sanat Kambhatla,"Forest Street,India",FALSE,FALSE
FJECZ5248L,Manoj Rajaram,"Rose Street,India",FALSE,FALSE
AEZJI0104B,Prashant Nathan,"Front Street North,India",FALSE,FALSE
ROWTD0056J,Avanish Nirmal,"Front Street North,India",FALSE,FALSE
YBVFO2576K,Utpal Rajivlochan Srivastava,"Arlington Avenue,India",FALSE,FALSE
QUPFY1746K,Shashishekhar Narang,"Grand Avenue,India",FALSE,FALSE
GTQFD6431B,Gautam Bhaskar,"Essex Court,India",FALSE,TRUE
DRTFB7756K,Amoha Agarwal,"Briarwood Drive,India",FALSE,FALSE
XJELO0342F,Navrang Surotama,"Garfield Avenue,India",FALSE,FALSE
UHAHZ2587S,Dhananjay Sarasvan,"Crescent Street,India",FALSE,FALSE
GKUPF4474T,Ganaraj Cheran,"Fairway Drive,India",FALSE,FALSE
WLQFI7038P,Vallabh Gorawala,"King Street,India",FALSE,FALSE
YRUHY0179Q,Acharya Mangesh,"Main Street,India",FALSE,FALSE
GAGAH3245V,Akalmash Suvrata Duranjaya,"Linden Avenue,India",FALSE,FALSE
YKWJC5903I,Lalitchandra Ankola,"Andover Court,India",FALSE,FALSE
DTMCS6680V,Aditeya Somatra,"Summit Avenue,India",FALSE,FALSE
DPABK1472L,Pyaremohan Mukunda,"Hanover Court,India",FALSE,FALSE
ANVGQ8532K,Padmanabh Nishita,"Monroe Street,India",FALSE,TRUE
MXJTH3636M,Sarang Giridhar,"Front Street North,India",FALSE,FALSE
